coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message,snow,lat,lon,temp,temp_min,temp_max,cloudiness,wind_speed,wind_direction,humidity
"{'lon': 147.06, 'lat': -42.78}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 296.61, 'feels_like': 291.81, 'temp_min': 294.15, 'temp_max': 299.82, 'pressure': 1016, 'humidity': 52}",10000.0,"{'speed': 8.2, 'deg': 150}",{'all': 20},1582430428.0,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1582400552, 'sunset': 1582448900}",39600.0,2155415.0,New Norfolk,200,,,,-42.78,147.06,296.61,294.15,299.82,20.0,8.2,150.0,52.0
"{'lon': 147.33, 'lat': -42.88}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 296.55, 'feels_like': 291.73, 'temp_min': 294.15, 'temp_max': 299.82, 'pressure': 1016, 'humidity': 52}",10000.0,"{'speed': 8.2, 'deg': 150}",{'all': 20},1582430421.0,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1582400478, 'sunset': 1582448844}",39600.0,2163355.0,Hobart,200,,,,-42.88,147.33,296.55,294.15,299.82,20.0,8.2,150.0,52.0
"{'lon': -147.72, 'lat': 64.84}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 258.39, 'feels_like': 250.86, 'temp_min': 257.04, 'temp_max': 260.15, 'pressure': 1013, 'humidity': 71}",16093.0,"{'speed': 5.7, 'deg': 250}",{'all': 90},1582430671.0,"{'type': 1, 'id': 7684, 'country': 'US', 'sunrise': 1582392391, 'sunset': 1582425758}",-32400.0,5861897.0,Fairbanks,200,,,,64.84,-147.72,258.39,257.04,260.15,90.0,5.7,250.0,71.0
"{'lon': 80.22, 'lat': 6.04}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 299.85, 'feels_like': 303.98, 'temp_min': 299.85, 'temp_max': 299.85, 'pressure': 1013, 'humidity': 75, 'sea_level': 1013, 'grnd_level': 1013}",,"{'speed': 0.73, 'deg': 241}",{'all': 100},1582430672.0,"{'country': 'LK', 'sunrise': 1582419222, 'sunset': 1582462310}",19800.0,1246294.0,Galle,200,,,,6.04,80.22,299.85,299.85,299.85,100.0,0.73,241.0,75.0
"{'lon': -40.29, 'lat': -20.33}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 296.84, 'feels_like': 296.63, 'temp_min': 296.48, 'temp_max': 297.15, 'pressure': 1015, 'humidity': 88}",10000.0,"{'speed': 6.7, 'deg': 210}",{'all': 90},1582430584.0,"{'type': 1, 'id': 8474, 'country': 'BR', 'sunrise': 1582446972, 'sunset': 1582492400}",-10800.0,3445026.0,Vila Velha,200,{'1h': 1.52},,,-20.33,-40.29,296.84,296.48,297.15,90.0,6.7,210.0,88.0
"{'lon': 27.25, 'lat': 31.35}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 287.31, 'feels_like': 281.42, 'temp_min': 287.31, 'temp_max': 287.31, 'pressure': 1018, 'humidity': 70, 'sea_level': 1018, 'grnd_level': 1017}",,"{'speed': 8.02, 'deg': 257}",{'all': 91},1582430672.0,"{'country': 'EG', 'sunrise': 1582433128, 'sunset': 1582473828}",7200.0,352733.0,Mersa Matruh,200,{'3h': 1.63},,,31.35,27.25,287.31,287.31,287.31,91.0,8.02,257.0,70.0
"{'lon': -124.16, 'lat': 40.6}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 282.14, 'feels_like': 280.54, 'temp_min': 281.15, 'temp_max': 283.15, 'pressure': 1022, 'humidity': 93}",16093.0,"{'speed': 1.6, 'deg': 325}",{'all': 90},1582430634.0,"{'type': 1, 'id': 4127, 'country': 'US', 'sunrise': 1582383694, 'sunset': 1582423147}",-28800.0,5563839.0,Fortuna,200,,,,40.6,-124.16,282.14,281.15,283.15,90.0,1.6,325.0,93.0
,,,,,,,,,,,,404,,city not found,,,,,,,,,,
"{'lon': 23.27, 'lat': -16.12}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 294.82, 'feels_like': 296.88, 'temp_min': 294.82, 'temp_max': 294.82, 'pressure': 1008, 'humidity': 84, 'sea_level': 1008, 'grnd_level': 894}",,"{'speed': 1.57, 'deg': 20}",{'all': 100},1582430673.0,"{'country': 'ZM', 'sunrise': 1582431917, 'sunset': 1582476949}",7200.0,898947.0,Senanga,200,,,,-16.12,23.27,294.82,294.82,294.82,100.0,1.57,20.0,84.0
"{'lon': 80.32, 'lat': 13.22}","[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",stations,"{'temp': 302.47, 'feels_like': 304.46, 'temp_min': 301.48, 'temp_max': 303.15, 'pressure': 1017, 'humidity': 66}",5000.0,"{'speed': 4.1, 'deg': 70}",{'all': 40},1582430650.0,"{'type': 1, 'id': 9218, 'country': 'IN', 'sunrise': 1582419510, 'sunset': 1582461974}",19800.0,1267433.0,Kattivakkam,200,,,,13.22,80.32,302.47,301.48,303.15,40.0,4.1,70.0,66.0
